userID,email,gameID,title,status,price,progress
u94,user0@test.com,450,SteamGame_0,Active,0,54%
u64,user1@test.com,398,SteamGame_1,Active,19.99,24%
u52,user2@test.com,385,SteamGame_2,Active,49.99,67%
u10,user3@test.com,100,SteamGame_3,Active,0,81%
u20,user4@test.com,277,SteamGame_4,Active,49.99,14%
u69,user5@test.com,144,SteamGame_5,Active,19.99,22%
u7,user6@test.com,300,SteamGame_6,Active,49.99,6%
u47,user7@test.com,189,SteamGame_7,Active,19.99,19%
u44,user8@test.com,270,SteamGame_8,Active,0,90%
u41,user9@test.com,155,SteamGame_9,Active,49.99,80%
u42,user10@test.com,271,SteamGame_10,Active,0,30%
u74,user11@test.com,404,SteamGame_11,Active,0,67%
u12,user12@test.com,297,SteamGame_12,Active,19.99,100%
u48,user13@test.com,278,SteamGame_13,Active,49.99,82%
u31,user14@test.com,201,SteamGame_14,Active,19.99,85%
u73,user15@test.com,307,SteamGame_15,Active,0,10%
u22,user16@test.com,159,SteamGame_16,Active,49.99,91%
u62,user17@test.com,271,SteamGame_17,Active,0,17%
u70,user18@test.com,306,SteamGame_18,Active,19.99,83%
u9,user19@test.com,454,SteamGame_19,Active,49.99,28%
u54,user20@test.com,349,SteamGame_20,Active,0,83%
u71,user21@test.com,152,SteamGame_21,Active,0,38%
u7,user22@test.com,394,SteamGame_22,Active,0,68%
u17,user23@test.com,290,SteamGame_23,Active,0,89%
u5,user24@test.com,243,SteamGame_24,Active,0,16%
u22,user25@test.com,291,SteamGame_25,Active,19.99,18%
u87,user26@test.com,268,SteamGame_26,Active,49.99,90%
u97,user27@test.com,467,SteamGame_27,Active,19.99,29%
u16,user28@test.com,260,SteamGame_28,Active,19.99,84%
u50,user29@test.com,465,SteamGame_29,Active,49.99,8%
u93,user30@test.com,120,SteamGame_30,Active,19.99,39%
u91,user31@test.com,403,SteamGame_31,Active,49.99,91%
u91,user32@test.com,336,SteamGame_32,Active,49.99,13%
u92,user33@test.com,118,SteamGame_33,Active,0,83%
u79,user34@test.com,141,SteamGame_34,Active,0,100%
u44,user35@test.com,322,SteamGame_35,Active,0,12%
u59,user36@test.com,461,SteamGame_36,Active,0,99%
u72,user37@test.com,249,SteamGame_37,Active,19.99,95%
u49,user38@test.com,348,SteamGame_38,Active,0,80%
u28,user39@test.com,315,SteamGame_39,Active,19.99,48%
u50,user40@test.com,457,SteamGame_40,Active,19.99,73%
u100,user41@test.com,174,SteamGame_41,Active,0,43%
u78,user42@test.com,499,SteamGame_42,Active,0,86%
u86,user43@test.com,457,SteamGame_43,Active,49.99,1%
u27,user44@test.com,113,SteamGame_44,Active,49.99,71%
u23,user45@test.com,266,SteamGame_45,Active,0,57%
u13,user46@test.com,348,SteamGame_46,Active,0,93%
u11,user47@test.com,426,SteamGame_47,Active,49.99,40%
u25,user48@test.com,202,SteamGame_48,Active,19.99,72%
u69,user49@test.com,169,SteamGame_49,Active,49.99,80%
u31,user50@test.com,234,SteamGame_50,Active,0,16%
u73,user51@test.com,457,SteamGame_51,Active,49.99,66%
u18,user52@test.com,109,SteamGame_52,Active,49.99,2%
u62,user53@test.com,410,SteamGame_53,Active,49.99,77%
u67,user54@test.com,470,SteamGame_54,Active,0,65%
u16,user55@test.com,445,SteamGame_55,Active,0,1%
u97,user56@test.com,123,SteamGame_56,Active,0,67%
u1,user57@test.com,138,SteamGame_57,Active,0,16%
u23,user58@test.com,155,SteamGame_58,Active,49.99,60%
u87,user59@test.com,374,SteamGame_59,Active,49.99,47%
u3,user60@test.com,385,SteamGame_60,Active,49.99,69%
u38,user61@test.com,166,SteamGame_61,Active,0,24%
u38,user62@test.com,323,SteamGame_62,Active,0,19%
u88,user63@test.com,450,SteamGame_63,Active,0,75%
u91,user64@test.com,460,SteamGame_64,Active,0,49%
u88,user65@test.com,126,SteamGame_65,Active,19.99,81%
u26,user66@test.com,404,SteamGame_66,Active,0,98%
u27,user67@test.com,165,SteamGame_67,Active,19.99,66%
u35,user68@test.com,362,SteamGame_68,Active,0,40%
u52,user69@test.com,348,SteamGame_69,Active,49.99,29%
u73,user70@test.com,236,SteamGame_70,Active,0,5%
u26,user71@test.com,252,SteamGame_71,Active,0,85%
u56,user72@test.com,429,SteamGame_72,Active,19.99,33%
u78,user73@test.com,155,SteamGame_73,Active,0,95%
u24,user74@test.com,275,SteamGame_74,Active,0,33%
u32,user75@test.com,347,SteamGame_75,Active,19.99,94%
u64,user76@test.com,296,SteamGame_76,Active,19.99,77%
u44,user77@test.com,328,SteamGame_77,Active,19.99,9%
u9,user78@test.com,320,SteamGame_78,Active,49.99,97%
u41,user79@test.com,214,SteamGame_79,Active,49.99,96%
u14,user80@test.com,499,SteamGame_80,Active,19.99,97%
u68,user81@test.com,170,SteamGame_81,Active,0,43%
u87,user82@test.com,350,SteamGame_82,Active,19.99,15%
u45,user83@test.com,354,SteamGame_83,Active,19.99,46%
u60,user84@test.com,107,SteamGame_84,Active,49.99,67%
u94,user85@test.com,387,SteamGame_85,Active,19.99,22%
u54,user86@test.com,446,SteamGame_86,Active,19.99,18%
u67,user87@test.com,472,SteamGame_87,Active,19.99,38%
u63,user88@test.com,369,SteamGame_88,Active,19.99,45%
u27,user89@test.com,303,SteamGame_89,Active,19.99,21%
u11,user90@test.com,279,SteamGame_90,Active,49.99,61%
u62,user91@test.com,138,SteamGame_91,Active,49.99,16%
u40,user92@test.com,437,SteamGame_92,Active,49.99,38%
u99,user93@test.com,162,SteamGame_93,Active,49.99,46%
u58,user94@test.com,255,SteamGame_94,Active,0,33%
u74,user95@test.com,178,SteamGame_95,Active,49.99,42%
u89,user96@test.com,387,SteamGame_96,Active,19.99,44%
u22,user97@test.com,407,SteamGame_97,Active,19.99,80%
u87,user98@test.com,151,SteamGame_98,Active,0,37%
u31,user99@test.com,437,SteamGame_99,Active,49.99,84%
u86,user100@test.com,412,SteamGame_100,Active,0,67%
u25,user101@test.com,160,SteamGame_101,Active,49.99,39%
u77,user102@test.com,130,SteamGame_102,Active,0,48%
u77,user103@test.com,248,SteamGame_103,Active,49.99,52%
u38,user104@test.com,187,SteamGame_104,Active,19.99,39%
u53,user105@test.com,351,SteamGame_105,Active,0,60%
u55,user106@test.com,265,SteamGame_106,Active,19.99,100%
u78,user107@test.com,200,SteamGame_107,Active,0,15%
u42,user108@test.com,498,SteamGame_108,Active,0,71%
u27,user109@test.com,415,SteamGame_109,Active,0,89%
u90,user110@test.com,263,SteamGame_110,Active,19.99,26%
u14,user111@test.com,480,SteamGame_111,Active,0,39%
u32,user112@test.com,157,SteamGame_112,Active,49.99,85%
u22,user113@test.com,185,SteamGame_113,Active,49.99,2%
u18,user114@test.com,476,SteamGame_114,Active,49.99,46%
u94,user115@test.com,126,SteamGame_115,Active,0,84%
u69,user116@test.com,209,SteamGame_116,Active,0,14%
u7,user117@test.com,489,SteamGame_117,Active,0,82%
u37,user118@test.com,312,SteamGame_118,Active,49.99,93%
u1,user119@test.com,156,SteamGame_119,Active,19.99,71%
u94,user120@test.com,421,SteamGame_120,Active,0,76%
u83,user121@test.com,104,SteamGame_121,Active,0,80%
u3,user122@test.com,358,SteamGame_122,Active,49.99,84%
u74,user123@test.com,291,SteamGame_123,Active,49.99,72%
u46,user124@test.com,465,SteamGame_124,Active,49.99,18%
u57,user125@test.com,277,SteamGame_125,Active,49.99,59%
u78,user126@test.com,191,SteamGame_126,Active,0,66%
u24,user127@test.com,400,SteamGame_127,Active,49.99,13%
u24,user128@test.com,139,SteamGame_128,Active,19.99,37%
u17,user129@test.com,294,SteamGame_129,Active,49.99,13%
u24,user130@test.com,412,SteamGame_130,Active,49.99,41%
u19,user131@test.com,486,SteamGame_131,Active,49.99,47%
u88,user132@test.com,442,SteamGame_132,Active,19.99,36%
u98,user133@test.com,129,SteamGame_133,Active,19.99,87%
u71,user134@test.com,257,SteamGame_134,Active,0,34%
u12,user135@test.com,334,SteamGame_135,Active,19.99,9%
u26,user136@test.com,197,SteamGame_136,Active,0,49%
u34,user137@test.com,117,SteamGame_137,Active,0,4%
u51,user138@test.com,293,SteamGame_138,Active,19.99,33%
u53,user139@test.com,256,SteamGame_139,Active,49.99,22%
u73,user140@test.com,338,SteamGame_140,Active,0,85%
u20,user141@test.com,202,SteamGame_141,Active,49.99,88%
u2,user142@test.com,390,SteamGame_142,Active,49.99,92%
u60,user143@test.com,299,SteamGame_143,Active,49.99,89%
u20,user144@test.com,468,SteamGame_144,Active,49.99,85%
u75,user145@test.com,236,SteamGame_145,Active,19.99,73%
u99,user146@test.com,398,SteamGame_146,Active,49.99,65%
u36,user147@test.com,265,SteamGame_147,Active,0,98%
u9,user148@test.com,135,SteamGame_148,Active,49.99,59%
u35,user149@test.com,414,SteamGame_149,Active,19.99,80%
u8,user150@test.com,444,SteamGame_150,Active,0,63%
u76,user151@test.com,314,SteamGame_151,Active,0,6%
u43,user152@test.com,151,SteamGame_152,Active,19.99,93%
u82,user153@test.com,226,SteamGame_153,Active,19.99,10%
u17,user154@test.com,134,SteamGame_154,Active,19.99,84%
u12,user155@test.com,388,SteamGame_155,Active,0,77%
u10,user156@test.com,130,SteamGame_156,Active,0,93%
u100,user157@test.com,278,SteamGame_157,Active,49.99,74%
u91,user158@test.com,454,SteamGame_158,Active,19.99,62%
u62,user159@test.com,364,SteamGame_159,Active,19.99,79%
u56,user160@test.com,439,SteamGame_160,Active,0,76%
u59,user161@test.com,132,SteamGame_161,Active,0,50%
u41,user162@test.com,290,SteamGame_162,Active,19.99,37%
u16,user163@test.com,408,SteamGame_163,Active,0,35%
u76,user164@test.com,257,SteamGame_164,Active,49.99,42%
u56,user165@test.com,210,SteamGame_165,Active,49.99,33%
u57,user166@test.com,292,SteamGame_166,Active,49.99,21%
u73,user167@test.com,208,SteamGame_167,Active,0,29%
u18,user168@test.com,476,SteamGame_168,Active,19.99,63%
u42,user169@test.com,396,SteamGame_169,Active,0,46%
u87,user170@test.com,457,SteamGame_170,Active,0,95%
u28,user171@test.com,447,SteamGame_171,Active,49.99,58%
u48,user172@test.com,234,SteamGame_172,Active,49.99,100%
u69,user173@test.com,365,SteamGame_173,Active,19.99,85%
u40,user174@test.com,209,SteamGame_174,Active,0,41%
u4,user175@test.com,298,SteamGame_175,Active,19.99,47%
u75,user176@test.com,254,SteamGame_176,Active,0,93%
u71,user177@test.com,134,SteamGame_177,Active,0,82%
